발생월,발생일,사고유형대분류,사고유형중분류,사고유형,사고건수,사망자수,중상자수,경상자수,부상신고자수
1,1,차대사람,횡단중,횡단중,11,2,3,6,0
1,1,차대사람,차도통행중,차도통행중,2,0,0,2,0
1,1,차대사람,길가장자리구역통행중,길가장자리구역통행중,1,0,0,1,0
1,1,차대사람,보도통행중,보도통행중,4,0,1,3,0
1,1,차대사람,기타,기타,14,2,4,9,0
1,1,차대차,정면충돌,정면충돌,14,1,9,14,1
1,1,차대차,측면충돌,측면충돌,90,1,22,113,3
1,1,차대차,후진중충돌,후진중충돌,6,0,2,5,1
1,1,차대차,추돌,추돌,50,1,15,79,2
1,1,차대차,기타,기타,48,0,13,52,9
1,1,차량단독,전도,전도,3,0,0,1,2
1,1,차량단독,공작물충돌,공작물충돌,7,1,3,5,0
1,1,차량단독,도로이탈,도로이탈 추락,2,0,0,2,0
1,1,차량단독,도로이탈,도로이탈 기타,1,0,1,0,0
1,1,차량단독,기타,기타,4,0,1,2,1
1,2,차대사람,횡단중,횡단중,34,1,19,15,1
1,2,차대사람,차도통행중,차도통행중,9,0,3,7,0
1,2,차대사람,길가장자리구역통행중,길가장자리구역통행중,5,0,3,1,1
1,2,차대사람,보도통행중,보도통행중,5,0,1,4,0
1,2,차대사람,기타,기타,32,0,12,17,4
1,2,차대차,정면충돌,정면충돌,15,0,8,17,0
1,2,차대차,측면충돌,측면충돌,146,2,45,166,10
1,2,차대차,후진중충돌,후진중충돌,11,0,0,15,0
1,2,차대차,추돌,추돌,60,1,22,100,6
1,2,차대차,기타,기타,85,0,11,110,11
1,2,차량단독,전도,전도,2,0,1,1,0
1,2,차량단독,전복,전복,2,1,0,3,0
1,2,차량단독,공작물충돌,공작물충돌,8,1,4,4,2
1,2,차량단독,기타,기타,10,0,4,4,2
1,3,차대사람,횡단중,횡단중,16,1,6,10,0
1,3,차대사람,차도통행중,차도통행중,3,0,0,4,0
1,3,차대사람,길가장자리구역통행중,길가장자리구역통행중,2,0,0,2,0
1,3,차대사람,보도통행중,보도통행중,1,0,1,0,0
1,3,차대사람,기타,기타,15,1,5,8,1
1,3,차대차,정면충돌,정면충돌,16,0,7,21,0
1,3,차대차,측면충돌,측면충돌,102,0,26,125,6
1,3,차대차,후진중충돌,후진중충돌,3,0,0,6,0
1,3,차대차,추돌,추돌,36,0,9,57,1
1,3,차대차,기타,기타,43,0,17,42,1
1,3,차량단독,공작물충돌,공작물충돌,5,1,0,3,1
1,3,차량단독,도로이탈,도로이탈 추락,1,0,1,0,0
1,3,차량단독,기타,기타,2,0,0,2,0
1,4,차대사람,횡단중,횡단중,26,0,9,15,2
1,4,차대사람,차도통행중,차도통행중,15,0,5,9,1
1,4,차대사람,길가장자리구역통행중,길가장자리구역통행중,9,0,4,5,0
1,4,차대사람,보도통행중,보도통행중,6,1,0,5,0
1,4,차대사람,기타,기타,27,0,10,18,2
1,4,차대차,정면충돌,정면충돌,19,1,10,21,0
1,4,차대차,측면충돌,측면충돌,142,0,41,156,13
1,4,차대차,후진중충돌,후진중충돌,7,0,0,8,0
1,4,차대차,추돌,추돌,71,1,24,93,6
1,4,차대차,기타,기타,81,2,14,81,10
1,4,차량단독,전도,전도,1,0,0,0,1
1,4,차량단독,공작물충돌,공작물충돌,4,1,2,0,1
1,4,차량단독,도로이탈,도로이탈 추락,1,0,0,0,1
1,4,차량단독,기타,기타,9,0,2,6,1
1,5,차대사람,횡단중,횡단중,39,2,16,20,2
1,5,차대사람,차도통행중,차도통행중,9,0,5,3,1
1,5,차대사람,길가장자리구역통행중,길가장자리구역통행중,5,0,3,2,0
1,5,차대사람,보도통행중,보도통행중,4,0,2,2,0
1,5,차대사람,기타,기타,34,2,7,25,2
